placa,modelo,situacion (estatus),estado,tipo combustible,gps,verificado,km_recorridos,fecha_ultimo_servicio,anno
SCF-1020,Volvo FH,OPERATIVO,Región Este,DIESEL,SI,NO,296476,2024-08-20,2020
SCF-1021,Kenworth T800,OPERATIVO,Región Norte,DIESEL,SI,SI,393162,2024-06-30,2018
SCF-1022,International LT625,OPERATIVO,Región Central,DIESEL,SI,SI,284946,2024-12-25,2016
SCF-1023,Peterbilt 579,OPERATIVO,Región Central,GASOLINA,NO,NO,670822,2024-03-28,2023
SCF-1024,International LT625,OPERATIVO,Región Oeste,DIESEL,SI,SI,261702,2024-03-24,2022
SCF-1025,Volvo FH,OPERATIVO,Región Oeste,DIESEL,SI,SI,288060,2025-04-18,2023
SCF-1026,Kenworth T800,OPERATIVO,Región Central,DIESEL,SI,NO,722870,2024-06-15,2015
SCF-1027,Kenworth T800,OPERATIVO,Región Sur,DIESEL,NO,SI,38659,2025-02-16,2020
SCF-1028,Volvo FH,OPERATIVO,Región Norte,GASOLINA,SI,SI,285746,2024-02-03,2018
SCF-1029,Peterbilt 579,OPERATIVO,Región Oeste,DIESEL,SI,NO,757787,2024-06-10,2018
SCF-1030,International LT625,OPERATIVO,Región Este,DIESEL,SI,SI,528481,2024-07-21,2022
SCF-1031,Kenworth T800,OPERATIVO,Región Norte,DIESEL,NO,SI,282746,2024-03-12,2018
SCF-1032,International LT625,OPERATIVO,Región Central,DIESEL,SI,NO,593637,2024-10-02,2019
SCF-1033,International LT625,OPERATIVO,Región Central,GASOLINA,SI,SI,617982,2024-08-07,2024
SCF-1034,Volvo FH,OPERATIVO,Región Oeste,DIESEL,SI,SI,384580,2024-04-22,2017
SCF-1035,Peterbilt 579,OPERATIVO,Región Oeste,DIESEL,NO,NO,522488,2024-02-16,2015
SCF-1036,Scania R500,OPERATIVO,Región Central,DIESEL,SI,SI,165265,2024-11-17,2017
SCF-1037,International LT625,OPERATIVO,Región Sur,DIESEL,SI,SI,447666,2024-11-01,2016
SCF-1038,Volvo FH,OPERATIVO,Región Norte,GASOLINA,SI,NO,405156,2024-11-01,2022
SCF-1039,Peterbilt 579,OPERATIVO,Región Oeste,DIESEL,NO,SI,268626,2025-05-12,2023
SCF-1040,Scania R500,OPERATIVO,Región Este,DIESEL,SI,SI,718328,2025-01-04,2016
SCF-1041,International LT625,OPERATIVO,Región Norte,DIESEL,SI,NO,568054,2025-01-19,2019
SCF-1042,International LT625,OPERATIVO,Región Central,DIESEL,SI,SI,361699,2024-02-27,2019
SCF-1043,Volvo FH,OPERATIVO,Región Central,GASOLINA,NO,SI,170840,2024-08-20,2015
SCF-1044,International LT625,OPERATIVO,Región Oeste,DIESEL,SI,NO,759639,2024-05-14,2023
SCF-1045,Kenworth T800,OPERATIVO,Región Oeste,DIESEL,SI,SI,537342,2025-04-12,2016
SCF-1046,International LT625,OPERATIVO,Región Central,DIESEL,SI,SI,317942,2025-03-06,2023
SCF-1047,Peterbilt 579,OPERATIVO,Región Sur,DIESEL,NO,NO,213573,2024-03-19,2020
SCF-1048,Kenworth T800,OPERATIVO,Región Norte,GASOLINA,SI,SI,570579,2025-05-03,2023
SCF-1049,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,SI,633038,2024-06-14,2022
SCF-1050,Scania R500,OPERATIVO,Región Este,DIESEL,SI,NO,122301,2025-04-20,2020
SCF-1051,Freightliner Cascadia,OPERATIVO,Región Norte,DIESEL,NO,SI,256083,2024-01-30,2018
SCF-1052,Peterbilt 579,OPERATIVO,Región Central,DIESEL,SI,SI,87582,2024-02-13,2022
SCF-1053,Scania R500,OPERATIVO,Región Central,GASOLINA,SI,NO,802549,2024-09-29,2017
SCF-1054,Kenworth T800,OPERATIVO,Región Oeste,DIESEL,SI,SI,696798,2024-08-31,2023
SCF-1055,Kenworth T800,OPERATIVO,Región Oeste,DIESEL,NO,SI,282932,2024-09-27,2024
SCF-1056,Volvo FH,OPERATIVO,Región Central,DIESEL,SI,NO,227086,2025-04-20,2023
SCF-1057,International LT625,OPERATIVO,Región Sur,DIESEL,SI,SI,728378,2024-04-12,2019
SCF-1058,Volvo FH,OPERATIVO,Región Norte,GASOLINA,SI,SI,709314,2024-11-28,2020
SCF-1059,Volvo FH,OPERATIVO,Región Oeste,DIESEL,NO,NO,547717,2024-08-19,2016
SCF-1060,Kenworth T800,OPERATIVO,Región Este,DIESEL,SI,SI,240612,2024-02-02,2020
SCF-1061,Scania R500,OPERATIVO,Región Norte,DIESEL,SI,SI,621886,2024-10-10,2018
SCF-1062,Peterbilt 579,OPERATIVO,Región Central,DIESEL,SI,NO,235914,2024-01-04,2016
SCF-1063,International LT625,OPERATIVO,Región Central,GASOLINA,NO,SI,666759,2024-01-31,2018
SCF-1064,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,SI,37938,2025-03-16,2020
SCF-1065,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,NO,544131,2024-05-01,2019
SCF-1066,International LT625,OPERATIVO,Región Central,DIESEL,SI,SI,513993,2024-04-19,2023
SCF-1067,Kenworth T800,OPERATIVO,Región Sur,DIESEL,NO,SI,763490,2025-04-23,2024
SCF-1068,Peterbilt 579,OPERATIVO,Región Norte,GASOLINA,SI,NO,500631,2024-05-04,2022
SCF-1069,Volvo FH,OPERATIVO,Región Oeste,DIESEL,SI,SI,204659,2024-02-18,2016
SCF-1070,International LT625,OPERATIVO,Región Este,DIESEL,SI,SI,456989,2024-06-30,2021
SCF-1071,Volvo FH,OPERATIVO,Región Norte,DIESEL,NO,NO,494710,2025-03-18,2015
SCF-1072,International LT625,OPERATIVO,Región Central,DIESEL,SI,SI,690197,2024-11-26,2016
SCF-1073,Scania R500,OPERATIVO,Región Central,GASOLINA,SI,SI,427179,2025-01-07,2020
SCF-1074,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,NO,265735,2024-04-08,2018
SCF-1075,Peterbilt 579,OPERATIVO,Región Oeste,DIESEL,NO,SI,475405,2024-03-12,2021
SCF-1076,Kenworth T800,OPERATIVO,Región Central,DIESEL,SI,SI,297075,2024-08-24,2018
SCF-1077,Scania R500,OPERATIVO,Región Sur,DIESEL,SI,NO,469656,2025-02-17,2023
SCF-1078,Scania R500,OPERATIVO,Región Norte,GASOLINA,SI,SI,58045,2024-11-29,2023
SCF-1079,Scania R500,OPERATIVO,Región Oeste,DIESEL,NO,SI,102793,2025-04-19,2018
SCF-1080,Kenworth T800,OPERATIVO,Región Este,DIESEL,SI,NO,431156,2024-09-05,2022
SCF-1081,Kenworth T800,OPERATIVO,Región Norte,DIESEL,SI,SI,425521,2025-04-07,2015
SCF-1082,Kenworth T800,OPERATIVO,Región Central,DIESEL,SI,SI,402382,2024-01-02,2021
SCF-1083,Freightliner Cascadia,OPERATIVO,Región Central,GASOLINA,NO,NO,827157,2025-02-05,2022
SCF-1084,Freightliner Cascadia,OPERATIVO,Región Oeste,DIESEL,SI,SI,448555,2024-12-22,2023
SCF-1085,International LT625,OPERATIVO,Región Oeste,DIESEL,SI,SI,758305,2024-09-06,2017
SCF-1086,Kenworth T800,OPERATIVO,Región Central,DIESEL,SI,NO,316120,2024-04-21,2015
SCF-1087,Peterbilt 579,OPERATIVO,Región Sur,DIESEL,NO,SI,776476,2024-10-04,2015
SCF-1088,International LT625,OPERATIVO,Región Norte,GASOLINA,SI,SI,333838,2024-01-30,2015
SCF-1089,Peterbilt 579,OPERATIVO,Región Oeste,DIESEL,SI,NO,504948,2024-09-14,2023
SCF-1090,Kenworth T800,OPERATIVO,Región Este,DIESEL,SI,SI,64642,2025-05-06,2023
SCF-1091,Scania R500,EN TALLER,Región Norte,DIESEL,NO,SI,199851,2024-02-05,2024
SCF-1092,Scania R500,EN TALLER,Región Central,DIESEL,SI,NO,713011,2025-03-17,2018
SCF-1093,Volvo FH,EN TALLER,Región Central,GASOLINA,SI,SI,130710,2025-04-27,2024
SCF-1094,Kenworth T800,EN TALLER,Región Oeste,DIESEL,SI,SI,612040,2024-10-31,2015
SCF-1095,Peterbilt 579,EN TALLER,Región Oeste,DIESEL,NO,NO,90965,2024-08-02,2024
SCF-1096,Peterbilt 579,EN TALLER,Región Central,DIESEL,SI,SI,553177,2024-06-10,2019
SCF-1097,Kenworth T800,EN TALLER,Región Sur,DIESEL,SI,SI,707258,2025-01-01,2020
SCF-1098,Kenworth T800,EN TALLER,Región Norte,GASOLINA,SI,NO,283517,2024-07-21,2017
SCF-1099,International LT625,EN TALLER,Región Oeste,DIESEL,NO,SI,681856,2024-06-02,2022
SCF-1100,Freightliner Cascadia,EN TALLER,Región Este,DIESEL,SI,SI,793387,2025-04-24,2016
SCF-1101,Scania R500,EN TALLER,Región Norte,DIESEL,SI,NO,485547,2024-11-14,2024
SCF-1102,Scania R500,EN TALLER,Región Central,DIESEL,SI,SI,81819,2024-10-02,2018
SCF-1103,Peterbilt 579,EN TALLER,Región Central,GASOLINA,NO,SI,283082,2024-03-08,2020
SCF-1104,Scania R500,EN TALLER,Región Oeste,DIESEL,SI,NO,261150,2024-07-08,2019
SCF-1105,Kenworth T800,EN TALLER,Región Oeste,DIESEL,SI,SI,464469,2025-03-02,2023
SCF-1106,International LT625,EN TALLER,Región Central,DIESEL,SI,SI,322212,2024-11-09,2023
SCF-1107,Scania R500,EN TALLER,Región Sur,DIESEL,NO,NO,705305,2025-02-22,2023
SCF-1108,Freightliner Cascadia,EN TALLER,Región Norte,GASOLINA,SI,SI,700613,2024-02-23,2017
SCF-1109,Freightliner Cascadia,EN TALLER,Región Oeste,DIESEL,SI,SI,126035,2025-03-31,2016
SCF-1110,International LT625,EN TALLER,Región Este,DIESEL,SI,NO,585097,2024-03-20,2019
SCF-1111,Freightliner Cascadia,EN TALLER,Región Norte,DIESEL,NO,SI,639210,2024-04-17,2020
SCF-1112,Kenworth T800,EN TALLER,Región Central,DIESEL,SI,SI,725892,2024-11-20,2019
SCF-1113,Peterbilt 579,EN TALLER,Región Central,GASOLINA,SI,NO,517262,2024-05-08,2015
SCF-1114,Scania R500,EN TALLER,Región Oeste,DIESEL,SI,SI,670095,2024-08-04,2019
SCF-1115,Scania R500,EN TALLER,Región Oeste,DIESEL,NO,SI,8717,2024-06-19,2017
SCF-1116,International LT625,EN TALLER,Región Central,DIESEL,SI,NO,279680,2024-03-23,2022
SCF-1117,Peterbilt 579,EN TALLER,Región Sur,DIESEL,SI,SI,744945,2024-08-06,2023
SCF-1118,Scania R500,EN TALLER,Región Norte,GASOLINA,SI,SI,122308,2024-02-08,2017
SCF-1119,Peterbilt 579,EN TALLER,Región Oeste,DIESEL,NO,NO,42778,2025-03-03,2020
SCF-1120,Peterbilt 579,EN TALLER,Región Este,DIESEL,SI,SI,584364,2024-03-16,2021
SCF-1121,Kenworth T800,EN TALLER,Región Norte,DIESEL,SI,SI,48860,2024-06-06,2020
SCF-1122,Scania R500,EN TALLER,Región Central,DIESEL,SI,NO,380190,2024-04-17,2018
SCF-1123,International LT625,EN TALLER,Región Central,GASOLINA,NO,SI,112786,2024-06-30,2023
SCF-1124,Volvo FH,EN TALLER,Región Oeste,DIESEL,SI,SI,655810,2025-01-18,2017
SCF-1125,Kenworth T800,EN TALLER,Región Oeste,DIESEL,SI,NO,175395,2025-05-14,2017
SCF-1126,Volvo FH,EN TALLER,Región Central,DIESEL,SI,SI,30990,2024-04-01,2020
SCF-1127,Volvo FH,EN TALLER,Región Sur,DIESEL,NO,SI,846204,2024-12-08,2018
SCF-1128,Freightliner Cascadia,EN TALLER,Región Norte,GASOLINA,SI,NO,171931,2025-02-07,2016
SCF-1129,Volvo FH,EN TALLER,Región Oeste,DIESEL,SI,SI,45605,2025-03-15,2022
SCF-1130,Kenworth T800,EN TALLER,Región Este,DIESEL,SI,SI,214267,2025-02-22,2022
SCF-1131,Freightliner Cascadia,MANTENIMIENTO,Región Norte,DIESEL,NO,NO,325015,2025-02-24,2018
SCF-1132,Kenworth T800,MANTENIMIENTO,Región Central,DIESEL,SI,SI,29813,2024-12-03,2018
SCF-1133,Volvo FH,MANTENIMIENTO,Región Central,GASOLINA,SI,SI,349207,2024-05-22,2016
SCF-1134,Freightliner Cascadia,MANTENIMIENTO,Región Oeste,DIESEL,SI,NO,373203,2024-11-24,2023
SCF-1135,Volvo FH,MANTENIMIENTO,Región Oeste,DIESEL,NO,SI,717526,2025-03-07,2023
SCF-1136,Freightliner Cascadia,MANTENIMIENTO,Región Central,DIESEL,SI,SI,33941,2024-02-29,2019
SCF-1137,Kenworth T800,MANTENIMIENTO,Región Sur,DIESEL,SI,NO,613792,2025-05-07,2019
SCF-1138,Scania R500,MANTENIMIENTO,Región Norte,GASOLINA,SI,SI,118668,2024-11-01,2021
SCF-1139,Freightliner Cascadia,MANTENIMIENTO,Región Oeste,DIESEL,NO,SI,768934,2025-02-06,2020
SCF-1140,Volvo FH,MANTENIMIENTO,Región Este,DIESEL,SI,NO,640656,2024-09-18,2016
SCF-1141,Volvo FH,MANTENIMIENTO,Región Norte,DIESEL,SI,SI,609596,2024-04-07,2019
SCF-1142,Scania R500,MANTENIMIENTO,Región Central,DIESEL,SI,SI,748215,2024-08-11,2015
SCF-1143,Peterbilt 579,MANTENIMIENTO,Región Central,GASOLINA,NO,NO,569607,2024-12-17,2018
SCF-1144,Freightliner Cascadia,MANTENIMIENTO,Región Oeste,DIESEL,SI,SI,457248,2024-02-05,2020
SCF-1145,Peterbilt 579,MANTENIMIENTO,Región Oeste,DIESEL,SI,SI,334164,2024-12-05,2016
SCF-1146,International LT625,INACTIVO,Región Central,DIESEL,SI,NO,319910,2024-09-16,2019
SCF-1147,International LT625,INACTIVO,Región Sur,DIESEL,NO,SI,433231,2024-06-16,2021
SCF-1148,International LT625,INACTIVO,Región Norte,GASOLINA,SI,SI,315016,2024-10-10,2017
SCF-1149,Kenworth T800,INACTIVO,Región Oeste,DIESEL,SI,NO,445869,2024-12-06,2021
SCF-1150,International LT625,INACTIVO,Región Este,DIESEL,SI,SI,789475,2025-04-07,2017
SCF-1151,Peterbilt 579,INACTIVO,Región Norte,DIESEL,NO,SI,601750,2024-06-03,2021
SCF-1152,Peterbilt 579,INACTIVO,Región Central,DIESEL,SI,NO,5425,2024-06-04,2019
SCF-1153,Kenworth T800,INACTIVO,Región Central,GASOLINA,SI,SI,455770,2025-02-06,2024
SCF-1154,Peterbilt 579,INACTIVO,Región Oeste,DIESEL,SI,SI,691508,2024-06-13,2022
SCF-1155,Volvo FH,INACTIVO,Región Oeste,DIESEL,NO,NO,468638,2024-12-11,2018
SCF-1156,Peterbilt 579,INACTIVO,Región Central,DIESEL,SI,SI,501171,2025-02-10,2017
SCF-1157,International LT625,INACTIVO,Región Sur,DIESEL,SI,SI,93914,2024-05-25,2023
SCF-1158,International LT625,INACTIVO,Región Norte,GASOLINA,SI,NO,668686,2024-11-13,2020
SCF-1159,Scania R500,INACTIVO,Región Oeste,DIESEL,NO,SI,792625,2024-04-30,2019
SCF-1160,Kenworth T800,INACTIVO,Región Este,DIESEL,SI,SI,213802,2024-03-16,2015
SCF-1161,Scania R500,INACTIVO,Región Norte,DIESEL,SI,NO,261736,2024-08-31,2024
SCF-1162,Scania R500,INACTIVO,Región Central,DIESEL,SI,SI,482538,2024-07-31,2024
SCF-1163,Kenworth T800,INACTIVO,Región Central,GASOLINA,NO,SI,758240,2024-12-22,2021
SCF-1164,Volvo FH,INACTIVO,Región Oeste,DIESEL,SI,NO,424066,2024-05-04,2017
SCF-1165,International LT625,INACTIVO,Región Oeste,DIESEL,SI,SI,726024,2024-01-03,2016
SCF-1166,Volvo FH,PARADO,Región Central,DIESEL,SI,SI,234471,2024-03-31,2023
SCF-1167,Volvo FH,PARADO,Región Sur,DIESEL,NO,NO,57657,2024-10-12,2018
SCF-1168,Scania R500,PARADO,Región Norte,GASOLINA,SI,SI,483634,2024-03-09,2022
SCF-1169,International LT625,PARADO,Región Oeste,DIESEL,SI,SI,561932,2024-10-13,2024
SCF-1170,Freightliner Cascadia,PARADO,Región Este,DIESEL,SI,NO,796937,2025-04-01,2022
SCF-1171,Peterbilt 579,PARADO,Región Norte,DIESEL,NO,SI,759213,2025-04-01,2023
SCF-1172,Volvo FH,PARADO,Región Central,DIESEL,SI,SI,579485,2024-08-16,2017
SCF-1173,International LT625,PARADO,Región Central,GASOLINA,SI,NO,502732,2024-08-18,2019
SCF-1174,Kenworth T800,PARADO,Región Oeste,DIESEL,SI,SI,673636,2024-05-21,2023
SCF-1175,Volvo FH,PARADO,Región Oeste,DIESEL,NO,SI,662193,2024-05-02,2019
SCF-1176,Volvo FH,ASIGNADO,Región Central,DIESEL,SI,NO,86247,2024-12-31,2019
SCF-1177,Kenworth T800,ASIGNADO,Región Sur,DIESEL,SI,SI,289913,2024-06-20,2020
SCF-1178,Peterbilt 579,ASIGNADO,Región Norte,GASOLINA,SI,SI,89491,2024-03-11,2017
SCF-1179,Kenworth T800,ASIGNADO,Región Oeste,DIESEL,NO,NO,406641,2024-12-21,2017
SCF-1180,International LT625,ASIGNADO,Región Este,DIESEL,SI,SI,229345,2024-02-02,2021
SCF-1181,Volvo FH,ASIGNADO,Región Norte,DIESEL,SI,SI,351954,2024-10-04,2022
SCF-1182,Volvo FH,ASIGNADO,Región Central,DIESEL,SI,NO,70290,2024-04-15,2021
SCF-1183,Volvo FH,ASIGNADO,Región Central,GASOLINA,NO,SI,812189,2024-10-26,2015
SCF-1184,Peterbilt 579,ASIGNADO,Región Oeste,DIESEL,SI,SI,403858,2024-09-01,2015
SCF-1185,Freightliner Cascadia,ASIGNADO,Región Oeste,DIESEL,SI,NO,318118,2025-01-20,2021
SCF-1186,Volvo FH,ASIGNADO,Región Central,DIESEL,SI,SI,569365,2025-01-17,2023
SCF-1187,Peterbilt 579,ASIGNADO,Región Sur,DIESEL,NO,SI,236251,2024-09-06,2018
SCF-1188,Freightliner Cascadia,ASIGNADO,Región Norte,GASOLINA,SI,NO,462007,2024-09-05,2015
SCF-1189,Volvo FH,ASIGNADO,Región Oeste,DIESEL,SI,SI,357457,2024-12-08,2021
SCF-1190,International LT625,ASIGNADO,Región Este,DIESEL,SI,SI,178061,2025-03-06,2022
SCF-1191,Kenworth T800,ASIGNADO,Región Norte,DIESEL,NO,NO,657483,2024-09-30,2015
SCF-1192,Volvo FH,ASIGNADO,Región Central,DIESEL,SI,SI,625644,2024-10-15,2015
SCF-1193,Scania R500,ASIGNADO,Región Central,GASOLINA,SI,SI,678971,2024-08-07,2017
SCF-1194,Volvo FH,ASIGNADO,Región Oeste,DIESEL,SI,NO,195556,2024-01-26,2019
SCF-1195,Volvo FH,ASIGNADO,Región Oeste,DIESEL,NO,SI,348254,2024-04-18,2022
SCF-1196,Freightliner Cascadia,ASIGNADO,Región Central,DIESEL,SI,SI,358894,2025-01-24,2021
SCF-1197,Freightliner Cascadia,ASIGNADO,Región Sur,DIESEL,SI,NO,793539,2025-05-02,2021
SCF-1198,Freightliner Cascadia,ASIGNADO,Región Norte,GASOLINA,SI,SI,90884,2024-08-28,2015
SCF-1199,International LT625,ASIGNADO,Región Oeste,DIESEL,NO,SI,570621,2024-01-27,2020
SCF-1200,Kenworth T800,ASIGNADO,Región Este,DIESEL,SI,NO,686725,2024-02-05,2015
SCF-1201,Scania R500,ASIGNADO,Región Norte,DIESEL,SI,SI,264295,2024-04-12,2015
SCF-1202,Peterbilt 579,ASIGNADO,Región Central,DIESEL,SI,SI,164784,2024-05-02,2017
SCF-1203,Volvo FH,ASIGNADO,Región Central,GASOLINA,NO,NO,706978,2024-02-28,2024
SCF-1204,Kenworth T800,ASIGNADO,Región Oeste,DIESEL,SI,SI,492623,2024-12-24,2019
SCF-1205,Freightliner Cascadia,ASIGNADO,Región Oeste,DIESEL,SI,SI,180939,2024-11-06,2024
SCF-1206,International LT625,EN USO,Región Central,DIESEL,SI,NO,758252,2024-02-28,2017
SCF-1207,Freightliner Cascadia,EN USO,Región Sur,DIESEL,NO,SI,118349,2024-10-23,2015
SCF-1208,Freightliner Cascadia,EN USO,Región Norte,GASOLINA,SI,SI,608766,2024-12-12,2021
SCF-1209,Volvo FH,EN USO,Región Oeste,DIESEL,SI,NO,754747,2024-04-11,2016
SCF-1210,Peterbilt 579,EN USO,Región Este,DIESEL,SI,SI,729161,2025-03-01,2018
SCF-1211,Scania R500,EN USO,Región Norte,DIESEL,NO,SI,736059,2025-01-30,2019
SCF-1212,International LT625,EN USO,Región Central,DIESEL,SI,NO,634577,2025-02-16,2016
SCF-1213,Peterbilt 579,EN USO,Región Central,GASOLINA,SI,SI,825652,2024-01-22,2020
SCF-1214,Peterbilt 579,EN USO,Región Oeste,DIESEL,SI,SI,454186,2024-12-04,2020
SCF-1215,Scania R500,EN USO,Región Oeste,DIESEL,NO,NO,535538,2024-11-27,2020
SCF-1216,Scania R500,EN RUTA,Región Central,DIESEL,SI,SI,445463,2025-02-25,2022
SCF-1217,Scania R500,EN RUTA,Región Sur,DIESEL,SI,SI,459582,2025-05-06,2020
SCF-1218,International LT625,EN RUTA,Región Norte,GASOLINA,SI,NO,487071,2024-12-28,2017
SCF-1219,Volvo FH,EN RUTA,Región Oeste,DIESEL,NO,SI,189692,2025-01-10,2023
SCF-1220,International LT625,EN RUTA,Región Este,DIESEL,SI,SI,288201,2024-11-11,2023
SCF-1221,Volvo FH,EN RUTA,Región Norte,DIESEL,SI,NO,492455,2024-08-11,2024
SCF-1222,Freightliner Cascadia,EN RUTA,Región Central,DIESEL,SI,SI,342960,2025-03-12,2018
SCF-1223,Scania R500,EN RUTA,Región Central,GASOLINA,NO,SI,297477,2025-03-27,2022
SCF-1224,Kenworth T800,EN RUTA,Región Oeste,DIESEL,SI,NO,791931,2024-08-25,2024
SCF-1225,Peterbilt 579,EN RUTA,Región Oeste,DIESEL,SI,SI,705646,2024-07-13,2020
SCF-1226,Scania R500,EN RUTA,Región Central,DIESEL,SI,SI,523317,2025-03-11,2020
SCF-1227,Kenworth T800,EN RUTA,Región Sur,DIESEL,NO,NO,516233,2024-04-18,2020
SCF-1228,Freightliner Cascadia,EN RUTA,Región Norte,GASOLINA,SI,SI,361871,2024-05-23,2024
SCF-1229,International LT625,EN RUTA,Región Oeste,DIESEL,SI,SI,294688,2024-10-11,2015
SCF-1230,Peterbilt 579,EN RUTA,Región Este,DIESEL,SI,NO,205337,2024-02-13,2018
SCF-1231,International LT625,EN RUTA,Región Norte,DIESEL,NO,SI,431170,2024-09-07,2023
SCF-1232,Kenworth T800,EN RUTA,Región Central,DIESEL,SI,SI,729156,2024-08-31,2022
SCF-1233,Volvo FH,EN RUTA,Región Central,GASOLINA,SI,NO,836450,2024-01-09,2016
SCF-1234,Freightliner Cascadia,EN RUTA,Región Oeste,DIESEL,SI,SI,237360,2024-07-26,2018
SCF-1235,Freightliner Cascadia,EN RUTA,Región Oeste,DIESEL,NO,SI,701212,2024-10-24,2020
SCF-1236,Volvo FH,EN RUTA,Región Central,DIESEL,SI,NO,585358,2024-09-28,2020
SCF-1237,Volvo FH,EN RUTA,Región Sur,DIESEL,SI,SI,787169,2024-10-08,2020
SCF-1238,Freightliner Cascadia,EN RUTA,Región Norte,GASOLINA,SI,SI,741996,2024-08-20,2019
SCF-1239,Freightliner Cascadia,EN RUTA,Región Oeste,DIESEL,NO,NO,268615,2024-04-28,2016
SCF-1240,International LT625,EN RUTA,Región Este,DIESEL,SI,SI,206939,2024-06-10,2016
SCF-1241,International LT625,En espera,Región Norte,DIESEL,SI,SI,566894,2025-05-01,2017
SCF-1242,Kenworth T800,En espera,Región Central,DIESEL,SI,NO,231895,2025-01-13,2022
SCF-1243,Freightliner Cascadia,En espera,Región Central,GASOLINA,NO,SI,764782,2024-10-28,2023
SCF-1244,Peterbilt 579,En espera,Región Oeste,DIESEL,SI,SI,301745,2024-02-21,2018
SCF-1245,Freightliner Cascadia,En espera,Región Oeste,DIESEL,SI,NO,243533,2024-07-03,2017
SCF-1246,Freightliner Cascadia,En espera,Región Central,DIESEL,SI,SI,19835,2024-12-28,2023
